연도,본분교,국공사립,학위과정유형,주야간,전공계열,전공_소분류_코드,전공_세분류_코드,학교유형,학교소재지역,성별,연령,취업여부
2018,1,3,3,2,1,0,7,1,1,2,23,1
2018,1,3,3,1,1,0,4,1,1,1,21,0
2018,1,3,3,1,1,0,4,1,1,1,21,1
2018,1,3,3,1,1,0,2,1,8,2,25,1
2018,1,3,3,1,1,0,2,1,8,1,21,1
2018,1,3,3,1,1,0,16,1,8,1,25,1
2018,1,3,3,1,1,0,16,1,8,1,24,1
2018,1,3,3,1,1,0,15,1,10,1,26,1
2018,1,3,3,2,1,1,20,1,1,2,25,1
2018,1,3,3,1,1,1,20,1,1,2,21,1
2018,1,3,3,1,1,1,17,1,8,1,25,1
2018,1,3,3,1,1,1,17,1,8,2,22,1
2018,1,3,3,1,1,1,28,1,8,1,25,1
2018,1,3,3,1,1,1,25,1,15,2,22,1
2018,1,3,3,1,1,1,17,1,16,2,22,1
2018,1,3,3,1,1,2,44,1,8,2,22,1
2018,1,3,3,1,1,2,31,1,8,1,23,0
2018,1,3,3,1,1,2,42,1,8,2,22,0
2018,1,3,3,1,1,2,36,1,2,2,23,0
2018,1,3,3,1,1,3,49,1,7,2,26,0
2018,1,3,2,2,1,4,51,1,1,2,24,1
2018,1,3,3,1,1,4,51,1,1,2,21,0
2018,1,3,3,1,1,4,55,1,8,2,21,1
2018,1,3,3,1,1,4,51,1,8,2,24,0
2018,1,3,3,1,1,4,57,1,8,2,23,1
2018,1,3,3,1,1,4,57,1,8,2,25,0
2018,1,3,3,1,1,4,57,1,8,2,24,0
2018,1,3,3,1,1,4,58,1,8,2,26,0
2018,1,3,3,1,1,5,62,1,11,1,23,1
2018,1,3,3,1,1,5,62,1,11,1,25,1
2018,1,3,3,1,1,5,62,1,11,2,22,1
2018,1,3,3,1,1,6,63,1,1,2,21,1
2018,1,3,3,1,1,6,63,1,8,2,22,0
2018,1,3,3,1,1,6,65,1,8,1,25,1
2018,1,3,2,2,1,6,65,1,8,2,36,1
2018,1,3,3,1,1,6,65,1,8,2,22,0
2018,1,3,3,1,1,6,69,1,15,2,23,0
2018,1,3,3,1,1,7,73,1,1,2,21,0
2018,1,3,5,1,1,7,78,1,8,2,26,1
2018,1,3,3,1,1,7,74,1,10,2,24,0
2018,1,3,3,2,1,7,72,1,14,2,54,1
2018,1,3,3,1,1,8,85,1,12,2,22,1
2018,1,3,3,2,1,8,86,1,12,1,52,1
2018,1,3,3,1,1,8,87,1,12,1,33,1
2018,1,3,3,1,1,8,87,1,12,2,23,1
2018,1,3,3,1,2,9,155,1,1,2,24,1
2018,1,3,3,1,2,9,156,1,1,2,23,1
2018,1,3,3,1,2,9,102,1,1,2,23,1
2018,1,3,3,2,2,9,108,1,1,2,28,1
2018,1,3,3,1,2,9,89,1,1,2,22,1
2018,1,3,3,1,2,9,167,1,8,2,24,0
2018,1,3,3,1,2,9,111,1,8,1,26,1
2018,1,3,3,1,2,9,187,1,8,2,25,1
2018,1,3,3,1,2,9,137,1,8,1,24,1
2018,1,3,3,1,2,9,143,1,8,2,23,1
2018,1,3,2,2,2,9,208,1,8,1,27,1
2018,1,3,3,1,2,9,88,1,8,1,25,1
2018,1,3,3,1,2,9,91,1,8,1,25,1
2018,1,3,3,1,2,9,101,1,8,1,24,1
2018,1,3,3,1,2,9,93,1,8,2,23,0
2018,1,3,3,1,2,9,93,1,5,1,25,0
2018,1,3,3,1,2,9,88,1,2,1,28,1
2018,1,3,3,1,2,9,124,1,2,2,24,1
2018,1,3,3,2,2,9,104,1,12,2,45,1
2018,1,3,5,2,2,9,196,1,12,2,24,0
2018,1,3,3,1,2,10,271,1,1,1,24,1
2018,1,3,5,2,2,10,278,1,9,1,25,1
2018,1,3,5,2,2,10,257,1,8,2,23,1
