목표 직업,목표 직업 유형,희망연봉,근로소득,근로시간,적성 및 흥미,전공 관련성,업무 난이도,업무량,개인 발전 가능성,직업 미래 전망,고용 안정성,근무환경,복리후생,회사 규모,출퇴근 거리,일자리의 사회적 평판,업무의 사회적 평판
0.0,0.0,2000,5,5,5,2,4,4,5,5,5,5,5,3,4,3,3
0.0,0.0,2400,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0.0,0.0,2000,5,4,5,5,4,3,5,2,4,5,5,3,5,4,4
0.0,0.0,3600,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0.0,0.0,2200,4,5,4,4,4,3,4,4,4,3,4,2,3,4,4
0.0,0.0,2040,5,5,5,5,5,5,5,5,4,4,4,3,5,4,4
0.0,0.0,2000,5,5,5,5,4,5,5,3,5,4,5,1,5,2,2
0.0,0.0,2600,5,5,5,3,4,5,4,5,5,5,5,1,5,1,1
0.0,1.0,2500,5,4,4,3,4,4,5,5,5,4,4,3,4,3,3
7.0,1.0,2000,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4
0.0,0.0,2400,3,3,3,2,3,3,4,3,5,5,5,3,4,4,4
0.0,0.0,2000,5,5,5,3,3,4,4,4,4,4,4,4,4,3,3
0.0,0.0,2400,4,5,4,3,3,4,4,4,3,4,4,3,4,4,4
0.0,0.0,2000,4,4,3,3,3,3,4,4,4,4,4,3,4,4,4
0.0,0.0,2200,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4
6.0,1.0,1900,4,4,5,5,3,3,4,4,4,4,4,3,3,3,3
0.0,0.0,1800,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0.0,0.0,2000,5,5,4,5,3,4,5,4,4,5,5,4,4,3,3
0.0,0.0,2200,4,4,4,3,4,4,5,5,5,5,4,4,4,4,3
1.0,3.0,2200,3,3,4,3,3,3,4,4,4,5,5,3,4,4,4
0.0,0.0,2200,5,5,3,3,5,3,3,3,5,5,5,3,5,2,2
0.0,0.0,2000,4,5,5,4,5,4,4,4,5,4,4,4,4,4,4
5.0,8.0,2500,5,5,5,2,3,3,4,4,3,4,3,3,4,4,4
5.0,5.0,5000,3,5,5,5,5,5,5,3,5,5,2,2,5,5,5
0.0,2.0,2160,5,5,3,2,3,2,2,2,4,4,4,2,2,3,3
0.0,0.0,2500,4,4,4,4,3,3,5,4,4,4,3,3,3,3,3
2.0,10.0,2600,5,5,5,4,4,3,4,4,4,5,5,2,5,3,3
5.0,1.0,2600,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5
3.0,5.0,2400,5,5,4,3,3,3,3,4,4,4,4,3,4,4,4
0.0,0.0,2000,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5
1.0,2.0,3000,4,5,3,3,5,4,4,4,4,5,4,3,4,5,5
0.0,0.0,2000,4,4,5,5,5,5,4,5,5,5,5,5,5,3,3
5.0,6.0,2000,3,3,4,4,3,3,4,4,5,4,4,2,5,2,2
0.0,0.0,2500,4,4,4,4,4,3,3,3,3,4,4,4,4,3,4
0.0,0.0,3500,4,5,4,3,4,4,3,3,4,4,4,3,3,3,3
0.0,0.0,3000,4,4,4,4,4,4,4,4,5,4,3,4,3,3,3
0.0,0.0,2000,5,5,4,1,3,3,4,4,4,4,5,2,3,3,3
0.0,0.0,2400,4,4,4,4,2,3,4,4,4,4,4,4,4,5,5
0.0,0.0,2400,4,4,4,4,4,4,3,4,5,5,5,4,5,3,3
3.0,1.0,1500,3,4,5,4,5,4,4,3,4,5,4,4,4,3,3
0.0,0.0,2000,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4
0.0,0.0,1800,4,4,5,2,3,3,4,4,3,4,4,3,4,3,3
0.0,0.0,5000,4,4,4,4,4,4,5,5,5,5,4,4,5,5,5
0.0,10.0,10000,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1.0,4.0,2400,5,5,2,2,2,5,2,2,5,2,2,2,5,2,2
0.0,0.0,2200,5,5,5,5,5,5,5,5,5,5,5,2,4,5,5
1.0,10.0,2400,5,5,5,4,4,4,4,4,3,4,4,3,5,3,3
0.0,0.0,2000,5,4,5,4,4,5,5,5,5,4,5,3,4,4,4
