대학 입학 구분,진로 선택 및 취업준비 프로그램 참여 횟수,GPA,학자금대출 금액,휴학 횟수,석사/박사 재학여부
1,3,73.33,0,0,0
1,7,66.67,0,0,0
1,2,95.56,0,0,0
1,1,84.44,0,1,0
1,3,91.11,0,0,0
1,4,86.67,0,0,0
1,5,84.44,0,0,0
1,8,86.67,0,0,0
1,2,66.67,0,0,0
1,6,88.89,0,0,0
1,5,84.44,0,0,0
1,5,66.67,0,0,0
1,0,66.67,0,1,0
1,2,73.33,0,1,0
1,0,91.11,0,0,0
1,2,97.78,0,0,0
1,7,91.11,0,0,0
1,5,71.11,3500,0,0
1,1,64.44,300,1,0
1,5,95.56,0,1,0
1,1,88.89,170,0,0
1,2,88.89,0,0,0
1,0,95.56,0,0,0
1,0,68.89,500,1,0
1,0,73.33,450,1,0
1,0,66.67,0,1,0
1,1,66.67,300,1,0
1,1,77.78,0,2,0
1,3,88.89,0,0,0
1,0,95.56,0,0,0
1,6,66.67,0,0,0
1,0,86.67,200,0,0
1,2,64.44,0,0,0
1,8,95.56,0,0,0
1,0,66.67,200,0,0
1,2,95.56,0,0,0
1,0,66.67,0,0,0
1,2,88.89,0,0,0
2,1,93.33,0,0,0
1,5,88.89,0,1,0
1,1,95.56,0,0,0
1,4,84.44,0,0,0
1,0,66.67,0,0,0
2,4,77.78,0,0,0
1,5,44.44,100,0,0
1,3,71.11,300,0,0
1,2,84.44,0,1,0
1,0,86.67,0,1,0
1,3,93.33,0,1,0
1,5,60,0,0,0
1,6,91.11,300,0,0
1,0,86.67,600,0,0
1,0,77.78,0,0,0
1,4,73.33,0,1,0
1,1,82.22,0,1,0
1,1,66.67,0,0,0
1,0,66.67,1500,0,0
1,0,66.67,0,0,0
1,2,80.24,0,0,0
1,4,75.56,0,1,0
1,6,84.44,0,1,0
1,0,77.78,0,2,0
1,4,66.67,0,0,0
1,0,66.67,0,0,0
2,2,84.44,500,1,0
1,4,73.33,900,0,0
1,8,88.89,300,0,0
2,3,82.22,0,0,0
1,0,77.78,0,2,0
1,3,66.67,0,0,0
1,3,77.78,0,0,0
1,2,73.33,0,1,0
2,6,88.89,800,0,0
1,0,75.56,0,0,0
1,4,66.67,0,0,0
1,1,84.44,0,0,0
1,4,86.67,0,0,0
1,3,95.56,0,0,0
1,6,91.11,0,0,0
1,5,80,0,0,0
1,3,84.44,0,0,0
1,0,62.22,250,0,0
1,0,93.33,700,0,0
1,0,88.89,0,0,0
1,4,93.33,0,0,0
1,3,66.67,0,1,0
1,0,55.56,0,0,0
1,4,77.78,150,0,0
1,5,77.78,0,0,0
1,6,66.67,0,0,0
1,5,77.78,0,0,0
1,5,77.78,0,1,0
1,3,60,0,0,0
1,0,80,2100,0,0
1,5,82.22,0,0,0
1,5,77.78,0,0,0
1,1,84.44,0,0,0
1,0,86.67,0,1,0
1,0,100,0,0,0
2,2,91.11,0,0,0
1,1,93.33,1500,0,0
1,0,84.44,0,0,0
1,0,77.78,0,0,0
1,3,93.33,120,0,0
1,2,93.33,0,0,0
1,4,86.67,0,0,0
1,0,95.56,0,0,0
1,0,73.33,0,0,0
1,0,77.78,0,0,0
1,4,88.89,0,0,0
1,0,86.67,0,0,0
1,1,95.56,0,0,0
1,2,88.89,0,0,0
1,3,84.44,0,0,0
1,1,88.89,0,0,0
1,2,88.89,400,0,0
1,5,91.11,0,0,0
1,0,84.44,0,0,0
1,0,95.56,0,0,0
1,2,71.11,0,0,0
1,2,91.11,0,0,0
1,0,95.56,0,0,0
1,0,46.67,0,0,0
1,5,97.78,0,0,0
1,5,82.22,0,0,0
1,0,80,0,1,0
1,7,75.56,0,0,0
1,7,97.78,0,0,0
1,3,91.11,0,0,0
1,0,80,300,0,0
1,0,82.22,0,0,0
1,3,64.44,1000,1,0
1,4,71.11,0,0,0
1,0,77.78,0,0,0
1,0,71.11,300,0,0
2,1,97.78,0,0,1
1,0,88.89,0,0,0
1,3,64.44,0,0,0
1,6,88.89,300,1,0
1,0,88.89,150,0,0
1,0,88.89,0,0,0
1,0,84.44,0,0,0
1,2,86.67,0,0,0
2,3,95.56,280,0,0
1,6,84.44,0,0,0
1,0,71.11,1000,0,0
1,3,88.89,0,0,0
1,4,84.44,0,0,0
1,0,88.89,0,1,0
1,0,88.89,0,0,0
1,5,82.22,0,0,0
1,1,91.11,0,0,0
1,0,80,0,0,0
1,1,93.33,0,0,0
1,4,93.33,0,0,0
1,3,84.44,0,0,0
2,0,95.56,0,0,0
1,5,82.22,0,1,0
1,3,84.44,0,0,0
1,1,80,0,0,0
1,3,71.11,0,0,0
1,2,88.89,0,0,0
1,0,73.33,800,0,0
1,1,91.11,0,0,0
1,4,66.67,0,0,0
1,3,93.33,0,0,0
1,2,66.67,0,0,0
1,0,84.44,0,0,0
1,3,86.67,0,0,0
2,1,84.44,0,0,0
1,6,93.33,600,0,0
1,5,84.44,1200,0,0
1,0,95.56,0,0,1
1,4,88.89,120,0,0
1,3,66.67,600,1,0
1,4,97.78,0,0,0
1,0,22.22,300,0,0
1,3,97.78,0,0,0
1,4,86.67,0,0,0
1,3,97.78,0,0,0
1,0,95.56,300,0,0
1,4,97.78,600,0,0
1,0,84.44,0,0,0
1,3,93.33,300,0,0
1,1,88.89,0,1,0
1,6,86.67,400,0,0
1,0,75.56,0,0,0
1,2,77.78,0,0,0
1,3,95.56,0,0,0
2,6,88.89,600,0,0
1,1,82.22,0,0,0
1,0,84.44,0,0,0
1,0,66.67,0,0,0
1,4,86.67,0,0,0
1,7,71.11,800,1,0
1,1,88.89,0,1,0
2,0,77.78,0,0,0
1,0,66.67,0,0,0
1,0,86.67,0,1,0
1,2,86.67,1000,0,0
1,2,95.56,0,0,0
1,3,82.22,0,0,0
1,0,84.44,1000,1,0
1,1,66.67,200,0,0
1,0,88.89,0,0,0
1,7,91.11,0,0,0
1,2,88.89,0,0,0
1,0,77.78,0,0,0
1,0,66.67,0,0,0
1,2,64.44,0,0,0
1,2,71.11,500,0,0
1,2,88.89,0,0,0
1,0,95.56,0,0,0
1,0,88.89,0,0,0
1,0,82.22,100,0,0
1,3,95.56,0,0,0
1,4,95.56,0,0,0
1,0,66.67,0,0,0
1,5,80,0,0,0
1,1,80,1000,0,0
1,3,66.67,0,0,0
1,2,82.22,100,0,0
1,2,84.44,0,0,0
1,2,77.78,0,0,0
1,0,66.67,0,0,0
1,1,95.56,0,0,0
1,4,91.11,0,0,0
1,0,55.56,0,1,0
1,0,82.22,0,0,0
1,2,66.67,0,2,0
1,6,95.56,0,0,0
1,3,88.89,1,0,0
1,5,93.33,0,1,0
1,0,97.78,0,0,0
1,0,93.33,0,0,0
1,3,84.44,0,0,0
1,4,73.33,0,0,0
1,5,77.78,0,0,0
1,3,93.33,400,0,0
1,3,73.33,0,0,0
1,0,80,0,0,0
1,4,80.24,0,0,0
1,4,77.78,800,0,0
1,0,73.33,0,0,0
2,0,77.78,0,0,0
1,8,95.56,0,0,0
1,0,88.89,0,0,0
1,5,91.11,0,0,0
1,0,71.11,0,0,0
1,5,93.33,0,0,0
1,3,66.67,0,1,0
