산업분류,직업분류,직원수,사업체위치(시도),정규직여부,근로소득(현재_월_만원),근로소득(초임_월_만원),신입여부
18,54,9,1,2,180,180,1
0,0,0,0,0,0,0,0
16,21,1,5,0,30,30,4
8,52,9,5,1,300,200,1
7,61,0,8,1,112,112,1
7,2,2,1,1,180,180,1
9,2,6,1,1,180,170,3
3,62,5,10,1,260,250,1
7,61,2,8,1,240,240,3
14,61,6,1,1,300,220,3
16,2,0,8,2,178,178,3
9,52,5,1,1,161,153,1
3,2,2,5,1,200,200,1
7,61,1,15,1,50,50,3
13,2,0,16,1,175,175,1
7,61,9,1,1,237,208,1
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
16,21,2,2,1,40,40,3
0,0,0,0,0,0,0,0
14,52,1,1,1,200,200,1
0,0,0,0,0,0,0,0
10,41,1,1,0,180,140,4
0,0,0,0,0,0,0,0
15,2,0,1,2,203,203,1
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
7,61,0,11,2,160,160,3
7,61,9,8,1,160,160,1
7,61,0,1,1,180,180,1
10,2,3,1,2,150,150,3
0,0,0,0,0,0,0,0
7,61,1,8,2,120,120,4
15,24,9,8,1,450,200,1
16,2,0,8,2,116,116,3
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
16,21,5,8,1,200,170,1
0,0,0,0,0,0,0,0
7,61,3,14,0,250,300,4
14,61,1,12,1,130,130,1
14,83,0,1,2,280,250,1
3,2,2,12,0,500,500,4
11,3,9,12,1,185,185,1
19,2,5,1,2,180,180,1
13,2,5,1,1,210,200,1
9,53,9,8,1,220,200,1
13,2,5,1,1,175,175,1
7,2,0,1,2,220,220,3
9,53,0,1,2,29,29,2
3,2,0,8,1,220,220,1
9,53,3,1,1,190,160,1
13,14,2,1,1,190,150,1
9,53,0,1,2,160,140,3
15,25,9,8,1,280,180,3
7,2,0,8,1,220,220,1
8,62,0,8,1,170,170,1
3,2,6,8,1,200,200,1
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
7,87,2,15,1,240,200,1
9,53,0,2,1,230,220,3
17,55,4,12,2,280,260,3
0,0,0,0,0,0,0,0
14,61,9,5,2,225,175,1
7,61,8,8,1,300,300,1
14,2,9,8,1,208,208,1
0,0,0,0,0,0,0,0
9,53,0,8,1,50,40,3
0,0,0,0,0,0,0,0
9,2,4,8,1,220,220,1
16,23,3,3,1,180,180,1
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
3,2,3,1,1,200,190,1
0,0,0,0,0,0,0,0
3,2,9,8,1,200,180,2
0,0,0,0,0,0,0,0
10,61,0,8,1,90,60,3
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
7,2,0,8,1,0,0,1
16,2,0,1,1,100,90,3
3,2,6,8,1,300,250,3
12,2,7,1,1,380,250,1
8,2,1,8,1,230,210,3
8,62,0,8,1,193,193,3
11,41,3,1,1,300,230,1
3,85,6,8,2,200,200,1
0,0,0,0,0,0,0,0
7,61,1,8,1,37,30,3
0,0,0,0,0,0,0,0
16,23,3,1,1,220,220,1
17,23,4,8,1,176,176,1
9,53,2,9,1,220,220,3
0,0,0,0,0,0,0,0
19,23,3,5,2,170,170,1
17,23,6,1,1,205,205,2
17,23,3,8,1,200,200,1
18,61,9,1,1,80,80,1
17,23,3,4,2,200,200,3
16,23,3,4,2,177,162,1
15,2,9,10,2,190,190,2
14,2,3,14,1,200,100,1
17,55,5,14,1,100,90,3
0,0,0,0,0,0,0,0
17,30,6,3,1,200,170,1
18,2,9,14,1,280,80,3
17,23,2,11,1,150,150,3
14,56,3,3,1,110,300,3
17,23,3,3,1,170,160,1
7,61,1,2,0,500,700,4
9,53,0,2,2,220,200,3
0,0,0,0,0,0,0,0
17,2,7,6,2,80,80,3
17,23,3,13,2,97,97,1
17,30,5,8,1,200,160,3
17,55,4,8,1,70,70,3
9,53,1,13,0,200,200,4
17,21,3,13,1,65,65,3
11,3,0,12,1,100,70,1
7,2,3,1,1,210,230,1
18,52,1,8,1,75,75,3
16,2,3,8,2,50,50,1
10,13,5,1,1,216,200,1
0,0,0,0,0,0,0,0
10,41,3,8,1,190,190,1
0,0,0,0,0,0,0,0
7,41,2,8,1,175,140,1
