본분교,국공사립,학위과정유형,주야간,전공계열,전공_소분류_코드,학교유형,학교소재지역,성별,연령,혼인여부 및 배우자 학력,아버지 학력,어머니 학력,부모님 소득,부모님 자산,가정의 경제적 지원,대학 입학 구분,진로 선택 및 취업준비 프로그램 참여 횟수,GPA,학자금대출 금액,휴학 횟수,석사/박사 재학여부,구직기간(통합),건강한정도,재학중 일자리 경험,일자리 횟수,시간총합,연수횟수,토익,토스등급,오픽점수,토플ibt,탭스,체류시간,취업여부
1,3,3,2,1,0,1,1,2,23,0,4,4,5,3,0,1,3,73.33,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1
1,3,3,1,1,0,1,1,1,21,0,4,4,4,3,0,1,7,66.67,0,0,0,0,3,2,0,240,0,0,0,0,0,0,0,0
1,3,3,1,1,0,1,1,1,21,0,6,6,6,5,40,1,2,95.56,0,0,0,0,5,2,0,0,0,800,0,0,0,0,0,1
1,3,3,1,1,0,1,8,2,25,0,6,6,6,5,0,1,1,84.44,0,1,0,13,5,2,0,0,1,0,0,0,0,0,12,1
1,3,3,1,1,0,1,8,1,21,0,4,4,6,4,0,1,3,91.11,0,0,0,0,4,1,2,0,0,0,0,0,0,0,0,1
1,3,3,1,1,0,1,8,1,25,0,4,4,3,3,0,1,4,86.67,0,0,0,32,3,1,2,0,0,0,0,0,0,0,0,1
1,3,3,1,1,0,1,8,1,24,0,4,4,6,4,0,1,5,84.44,0,0,0,0,5,1,3,11,0,0,0,0,0,0,0,1
1,3,3,1,1,0,1,10,1,26,0,7,7,7,4,0,1,8,86.67,0,0,0,0,3,1,2,0,1,0,0,0,0,0,6,1
1,3,3,2,1,1,1,1,2,25,0,4,2,6,1,0,1,2,66.67,0,0,0,4,3,1,1,0,1,0,0,0,0,0,3,1
1,3,3,1,1,1,1,1,2,21,0,4,4,4,2,0,1,6,88.89,0,0,0,7,4,1,1,8,0,0,0,0,0,0,0,1
1,3,3,1,1,1,1,8,1,25,0,5,5,5,3,0,1,5,84.44,0,0,0,0,5,1,2,0,0,0,0,0,0,0,0,1
1,3,3,1,1,1,1,8,2,22,0,6,4,6,3,0,1,5,66.67,0,0,0,0,4,1,2,0,0,0,0,0,0,0,0,1
1,3,3,1,1,1,1,8,1,25,0,6,6,6,5,0,1,0,66.67,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,1
1,3,3,1,1,1,1,15,2,22,0,6,6,1,3,0,1,2,73.33,0,1,0,0,4,2,0,0,0,0,0,0,0,0,0,1
1,3,3,1,1,1,1,16,2,22,0,4,4,3,1,0,1,0,91.11,0,0,0,26,3,2,0,0,1,0,0,0,0,0,5,1
1,3,3,1,1,2,1,8,2,22,0,4,4,4,4,0,1,2,97.78,0,0,0,3,5,2,0,16,0,750,3,0,0,0,0,1
1,3,3,1,1,2,1,8,1,23,0,6,3,8,2,50,1,7,91.11,0,0,0,0,4,2,0,0,0,960,0,0,0,0,0,0
1,3,3,1,1,2,1,8,2,22,0,6,5,3,3,0,1,5,71.11,3500,0,0,8,4,1,1,0,0,0,0,0,0,0,0,0
1,3,3,1,1,2,1,2,2,23,0,4,4,6,5,0,1,1,64.44,300,1,0,1,3,1,1,0,0,810,0,0,0,0,0,1
1,3,3,1,1,3,1,7,2,26,0,4,4,0,5,0,1,5,95.56,0,1,0,16,4,2,0,0,1,650,0,0,0,0,18,0
1,3,2,2,1,4,1,1,2,24,0,4,4,8,4,0,1,1,88.89,170,0,0,5,5,2,0,0,1,0,0,0,0,0,1,1
1,3,3,1,1,4,1,1,2,21,0,6,6,6,4,100,1,2,88.89,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0
1,3,3,1,1,4,1,8,2,21,0,6,6,5,1,20,1,0,95.56,0,0,0,1,5,2,0,0,0,0,0,0,0,0,0,1
1,3,3,1,1,4,1,8,2,24,0,4,4,0,0,0,1,0,68.89,500,1,0,0,2,1,5,0,0,0,0,0,0,0,0,0
1,3,3,1,1,4,1,8,2,23,0,4,4,3,3,0,1,0,73.33,450,1,0,2,4,1,1,30,0,0,0,0,0,0,0,1
1,3,3,1,1,4,1,8,2,25,0,6,4,5,4,20,1,0,66.67,0,1,0,0,3,1,1,0,0,0,0,0,0,0,0,0
1,3,3,1,1,4,1,8,2,24,0,4,4,2,3,40,1,1,66.67,300,1,0,7,3,1,1,4,0,0,0,0,0,0,0,0
1,3,3,1,1,4,1,8,2,26,0,4,4,0,5,0,1,1,77.78,0,2,0,0,4,1,2,0,0,0,0,0,0,0,0,0
1,3,3,1,1,5,1,11,1,23,0,4,4,3,4,0,1,3,88.89,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,1
1,3,3,1,1,5,1,11,1,25,0,6,4,4,3,0,1,0,95.56,0,0,0,1,4,1,1,24,0,0,0,0,0,0,0,1
1,3,3,1,1,5,1,11,2,22,0,6,6,2,3,0,1,6,66.67,0,0,0,4,4,2,0,0,2,700,0,0,0,0,5,1
1,3,3,1,1,6,1,1,2,21,0,4,4,2,2,0,1,0,86.67,200,0,0,13,4,1,1,0,0,0,0,0,0,0,0,1
1,3,3,1,1,6,1,8,2,22,0,4,4,0,4,0,1,2,64.44,0,0,0,4,4,1,1,100,0,0,0,0,0,0,0,0
1,3,3,1,1,6,1,8,1,25,0,4,4,5,4,0,1,8,95.56,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,1
1,3,2,2,1,6,1,8,2,36,6,4,4,2,5,0,1,0,66.67,200,0,0,52,3,2,0,0,0,0,0,0,0,0,0,1
1,3,3,1,1,6,1,8,2,22,0,6,7,3,3,0,1,2,95.56,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,1
1,3,3,1,1,6,1,15,2,23,0,4,4,0,5,0,1,0,66.67,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0
1,3,3,1,1,7,1,1,2,21,0,6,6,5,3,20,1,2,88.89,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0
1,3,5,1,1,7,1,8,2,26,0,6,6,7,5,0,2,1,93.33,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,1
1,3,3,1,1,7,1,10,2,24,0,6,4,3,5,0,1,5,88.89,0,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0
1,3,3,2,1,7,1,14,2,54,0,6,5,0,3,0,1,1,95.56,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,1
1,3,3,1,1,8,1,12,2,22,0,4,4,4,3,0,1,4,84.44,0,0,0,13,3,1,1,0,0,0,0,0,0,0,0,1
1,3,3,2,1,8,1,12,1,52,4,2,2,0,0,0,1,0,66.67,0,0,0,9,5,2,0,200,0,0,0,0,0,0,0,1
1,3,3,1,1,8,1,12,1,33,0,3,2,3,1,0,2,4,77.78,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,1
1,3,3,1,1,8,1,12,2,23,0,4,4,4,2,0,1,5,44.44,100,0,0,13,3,1,1,0,0,0,0,0,0,0,0,1
1,3,3,1,2,9,1,1,2,24,0,3,3,6,3,0,1,3,71.11,300,0,0,9,4,1,3,0,1,600,0,0,0,0,1,1
1,3,3,1,2,9,1,1,2,23,0,4,3,0,1,15,1,2,84.44,0,1,0,4,4,1,1,0,0,0,0,0,0,0,0,1
1,3,3,1,2,9,1,1,2,23,0,6,6,7,1,0,1,0,86.67,0,1,0,1,5,1,2,0,0,0,0,0,0,0,0,1
1,3,3,2,2,9,1,1,2,28,0,4,4,4,2,0,1,3,93.33,0,1,0,26,4,2,0,0,0,0,0,0,0,0,0,1
1,3,3,1,2,9,1,1,2,22,0,6,5,4,3,0,1,5,60,0,0,0,7,4,2,0,0,0,0,0,0,0,0,0,1
1,3,3,1,2,9,1,8,2,24,0,2,5,3,1,0,1,6,91.11,300,0,0,2,4,1,2,240,0,0,0,0,0,0,0,1
1,3,3,1,2,9,1,8,1,26,0,4,4,5,1,0,1,0,86.67,600,0,0,0,3,1,1,0,0,0,0,0,0,0,0,1
1,3,3,1,2,9,1,8,2,25,0,6,6,6,6,0,1,0,77.78,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,1
1,3,3,1,2,9,1,8,1,24,0,6,4,6,2,0,1,4,73.33,0,1,0,0,4,1,1,0,1,0,0,0,0,0,1,1
1,3,3,1,2,9,1,8,2,23,0,7,6,5,3,40,1,1,82.22,0,1,0,17,5,1,1,0,0,0,0,0,0,0,0,1
1,3,2,2,2,9,1,8,1,27,0,4,4,2,2,0,1,1,66.67,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,1
1,3,3,1,2,9,1,8,1,25,0,4,4,4,3,0,1,0,66.67,1500,0,0,0,4,1,2,0,0,0,0,0,0,0,0,1
1,3,3,1,2,9,1,8,1,25,0,6,5,5,3,0,1,0,66.67,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,1
1,3,3,1,2,9,1,8,1,24,0,4,4,5,3,0,1,2,80.24,0,0,0,9,4,1,2,0,0,0,0,0,0,0,0,1
1,3,3,1,2,9,1,8,2,23,0,6,6,3,3,0,1,4,75.56,0,1,0,0,5,2,0,0,0,0,0,0,0,0,0,0
1,3,3,1,2,9,1,5,1,25,0,4,4,6,4,0,1,6,84.44,0,1,0,0,4,1,3,0,1,780,0,0,0,0,2,0
1,3,3,1,2,9,1,2,1,28,0,6,6,2,2,0,1,0,77.78,0,2,0,13,4,2,0,0,0,0,0,0,0,0,0,1
1,3,3,1,2,9,1,2,2,24,0,6,4,5,4,0,1,4,66.67,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,1
1,3,3,2,2,9,1,12,2,45,0,4,4,0,0,0,1,0,66.67,0,0,0,13,4,1,1,4,0,0,0,0,0,0,0,1
1,3,5,2,2,9,1,12,2,24,6,4,4,1,1,0,2,2,84.44,500,1,0,4,4,1,3,8,0,0,0,0,0,0,0,0
1,3,3,1,2,10,1,1,1,24,0,4,5,4,1,0,1,4,73.33,900,0,0,2,3,2,0,0,1,0,0,0,0,0,1,1
1,3,5,2,2,10,1,9,1,25,0,4,4,0,3,0,1,8,88.89,300,0,0,52,5,1,1,0,1,0,0,0,0,0,1,1
1,3,5,2,2,10,1,8,2,23,0,6,6,6,2,0,2,3,82.22,0,0,0,0,3,1,1,0,1,0,0,0,0,0,1,1
1,3,3,1,2,10,1,8,2,25,0,7,6,8,4,50,1,0,77.78,0,2,0,0,3,2,0,0,0,730,3,0,0,0,0,0
1,3,3,1,2,10,1,8,1,24,0,6,6,2,1,20,1,3,66.67,0,0,0,0,4,1,1,30,0,300,0,0,0,0,0,1
1,3,3,1,2,10,1,5,2,21,0,4,3,5,3,30,1,3,77.78,0,0,0,8,4,2,0,0,0,0,0,0,0,0,0,0
1,3,3,1,2,10,1,11,2,23,0,4,4,6,5,0,1,2,73.33,0,1,0,0,4,2,0,0,0,0,0,0,0,0,0,1
1,3,5,2,2,10,1,3,2,25,0,5,4,3,1,0,2,6,88.89,800,0,0,26,5,2,0,20,0,0,0,0,0,0,0,1
1,3,3,1,2,11,1,1,2,22,0,3,4,0,4,10,1,0,75.56,0,0,0,0,5,2,0,0,0,720,0,0,0,0,0,0
1,3,3,1,2,11,1,1,2,21,0,6,6,0,5,0,1,4,66.67,0,0,0,1,4,1,1,0,0,0,0,0,0,0,0,0
1,3,3,2,2,11,1,1,2,23,0,4,4,6,6,30,1,1,84.44,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0
1,3,3,1,2,11,1,9,1,28,0,5,5,5,5,30,1,4,86.67,0,0,0,4,4,2,0,0,0,0,0,0,0,0,0,0
1,3,3,1,2,11,1,9,2,22,0,4,3,8,3,50,1,3,95.56,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,1
1,3,3,1,2,11,1,8,1,25,0,7,4,0,6,30,1,6,91.11,0,0,0,16,4,1,1,0,0,0,0,0,0,0,0,0
1,3,3,1,2,11,1,8,2,22,0,5,4,5,3,0,1,5,80,0,0,0,9,4,1,1,0,0,0,0,0,0,0,0,1
1,3,3,2,2,11,1,8,1,24,0,6,6,7,5,0,1,3,84.44,0,0,0,10,5,2,0,0,0,0,0,0,0,0,0,0
1,3,3,1,2,11,1,8,1,24,0,4,4,6,4,0,1,0,62.22,250,0,0,46,3,2,0,0,0,0,0,0,0,0,0,1
1,3,3,1,2,11,1,8,1,25,0,6,4,3,4,40,1,0,93.33,700,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0
1,3,3,1,2,11,1,3,1,24,0,4,4,3,1,0,1,0,88.89,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0
1,3,3,1,2,11,1,3,2,22,0,4,4,2,1,0,1,4,93.33,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,1
1,3,3,2,2,12,1,1,2,23,0,5,4,2,6,50,1,3,66.67,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,1
1,3,3,1,2,12,1,8,1,25,0,4,4,6,4,0,1,0,55.56,0,0,0,4,5,1,1,0,0,0,0,0,0,0,0,1
1,3,3,1,2,13,1,1,1,24,0,7,6,5,1,0,1,4,77.78,150,0,0,13,4,2,0,40,0,0,0,0,0,0,0,1
