본분교,국공사립,학위과정유형,주야간,전공계열,전공_소분류_코드,전공_세분류_코드,학교유형,학교소재지역,성별,연령,취업여부
1,3,3,2,1,0,4,1,1,2,23,1
1,3,3,1,1,0,3,1,1,1,21,0
1,3,3,1,1,0,3,1,1,1,21,1
1,3,3,1,1,0,2,1,8,2,25,1
1,3,3,1,1,0,2,1,8,1,21,1
1,3,3,1,1,0,9,1,8,1,25,1
1,3,3,1,1,0,9,1,8,1,24,1
1,3,3,1,1,0,8,1,10,1,26,1
1,3,3,2,1,1,12,1,1,2,25,1
1,3,3,1,1,1,12,1,1,2,21,1
1,3,3,1,1,1,10,1,8,1,25,1
1,3,3,1,1,1,10,1,8,2,22,1
1,3,3,1,1,1,16,1,8,1,25,1
1,3,3,1,1,1,14,1,15,2,22,1
1,3,3,1,1,1,10,1,16,2,22,1
1,3,3,1,1,2,28,1,8,2,22,1
1,3,3,1,1,2,19,1,8,1,23,0
1,3,3,1,1,2,26,1,8,2,22,0
1,3,3,1,1,2,22,1,2,2,23,0
1,3,3,1,1,3,31,1,7,2,26,0
1,3,2,2,1,4,32,1,1,2,24,1
1,3,3,1,1,4,32,1,1,2,21,0
1,3,3,1,1,4,34,1,8,2,21,1
1,3,3,1,1,4,32,1,8,2,24,0
1,3,3,1,1,4,36,1,8,2,23,1
1,3,3,1,1,4,36,1,8,2,25,0
1,3,3,1,1,4,36,1,8,2,24,0
1,3,3,1,1,4,37,1,8,2,26,0
1,3,3,1,1,5,40,1,11,1,23,1
1,3,3,1,1,5,40,1,11,1,25,1
1,3,3,1,1,5,40,1,11,2,22,1
1,3,3,1,1,6,41,1,1,2,21,1
1,3,3,1,1,6,41,1,8,2,22,0
1,3,3,1,1,6,42,1,8,1,25,1
1,3,2,2,1,6,42,1,8,2,36,1
1,3,3,1,1,6,42,1,8,2,22,0
1,3,3,1,1,6,44,1,15,2,23,0
1,3,3,1,1,7,46,1,1,2,21,0
1,3,5,1,1,7,49,1,8,2,26,1
1,3,3,1,1,7,47,1,10,2,24,0
1,3,3,2,1,7,45,1,14,2,54,1
1,3,3,1,1,8,53,1,12,2,22,1
1,3,3,2,1,8,54,1,12,1,52,1
1,3,3,1,1,8,55,1,12,1,33,1
1,3,3,1,1,8,55,1,12,2,23,1
1,3,3,1,2,9,90,1,1,2,24,1
1,3,3,1,2,9,91,1,1,2,23,1
1,3,3,1,2,9,64,1,1,2,23,1
1,3,3,2,2,9,69,1,1,2,28,1
1,3,3,1,2,9,57,1,1,2,22,1
1,3,3,1,2,9,93,1,8,2,24,0
1,3,3,1,2,9,71,1,8,1,26,1
1,3,3,1,2,9,101,1,8,2,25,1
1,3,3,1,2,9,80,1,8,1,24,1
1,3,3,1,2,9,84,1,8,2,23,1
1,3,2,2,2,9,112,1,8,1,27,1
1,3,3,1,2,9,56,1,8,1,25,1
1,3,3,1,2,9,59,1,8,1,25,1
