pid,G181A021
100013,2
100018,
100019,5
100034,1
100036,1
100047,1
100049,1
100061,1
100076,2
100083,1
100088,1
100091,1
100102,1
100110,3
100115,1
100158,1
100164,
100166,
100170,2
100191,
100197,1
100198,
100210,5
100212,
100219,2
100221,
100223,
100224,
100231,2
100232,1
100241,1
100267,3
100278,
100286,3
100287,1
100289,2
100296,
100304,
100317,1
100320,
100326,4
100364,1
100366,2
100369,4
100373,1
100375,2
100377,1
100381,1
100387,1
100393,1
100411,2
100412,1
100429,1
100447,1
100455,2
100464,1
100466,1
100468,1
100474,1
100486,
100496,
100554,1
100557,1
100578,1
100579,
100584,2
100599,1
100615,1
100617,
100623,2
100640,
100654,1
100676,1
100710,
100717,
100718,
100724,
100725,1
100727,
100755,1
100763,
100771,1
100784,
100810,
100814,1
100832,2
100846,1
100868,1
100875,1
100878,1
100885,1
100886,1
100890,
100901,3
100903,
100906,1
100908,1
100910,1
100912,
100954,2
100963,1
100965,1
100975,1
100981,2
100983,1
101003,2
101020,1
101021,1
101022,
101023,1
101031,1
101040,1
101060,1
101064,1
101075,4
101076,2
101082,
101090,2
101101,2
101104,1
101106,2
101111,4
101115,2
101129,2
101145,1
101181,3
101187,2
101192,1
101194,
101199,1
101202,
101214,1
101231,1
101240,
101244,1
101249,1
101260,1
101278,1
101282,2
101386,
101391,2
101397,1
101414,1
101419,
101425,1
101431,1
101438,
101450,1
101463,1
101466,
101475,1
101494,
101500,
101505,2
101507,
101512,1
101513,1
101521,
101547,1
101561,4
101569,1
101571,2
101576,2
101584,4
101588,1
101595,1
101601,1
101608,1
101611,1
101613,1
101646,1
101660,
101672,
101693,
101694,
101695,1
101700,2
101705,1
101717,1
101719,
101720,1
101732,
101733,
101735,
101737,1
101738,1
101741,1
101743,1
101750,1
101757,3
101767,
101769,5
101770,5
101780,5
101785,
101794,1
101799,1
101801,
101818,
101821,2
101822,1
101825,1
101830,1
101838,
101841,2
101846,1
101850,1
101862,4
101864,1
101877,
101878,
101880,
101884,1
101895,
101900,
101901,1
101903,1
101910,1
101911,
101918,
101920,1
101921,1
101925,1
101931,1
101932,1
101934,1
101941,1
101961,2
101965,
101967,1
101972,
101974,1
101978,
101980,1
101993,
102010,
102012,1
102014,
102022,
102028,1
102033,1
102038,1
102044,1
102065,1
102070,1
102071,1
102075,1
102083,1
102089,1
102090,1
102099,1
102116,1
102117,1
102119,1
102151,
102153,1
102162,1
102165,
102189,1
102190,1
102193,1
102197,1
102202,1
102209,
102211,
102212,2
102217,
102219,5
102226,1
102231,1
102255,2
102285,1
102288,1
102289,
102301,1
102304,1
102307,1
102311,1
102320,1
102325,1
102327,
102332,1
102334,2
102351,1
102357,1
102362,2
102379,1
102384,1
102388,1
102391,
102395,
102396,2
102399,1
102428,1
102456,1
102461,1
102471,1
102474,1
102478,1
102485,1
102487,1
102498,
102507,
102510,1
102511,1
102521,
102522,1
102528,1
102532,1
102541,1
102543,
102549,
102558,1
102574,1
102582,1
102585,1
102599,1
102616,1
102619,1
102622,1
102626,1
102630,
102634,1
102635,1
102649,
102653,
102655,1
102657,1
102658,2
102686,1
102689,1
102690,1
102706,2
102707,
102710,1
102712,2
102719,1
102726,1
102728,3
102745,1
102746,1
102763,3
102770,2
102785,1
102793,1
102804,2
102806,1
102807,
102808,1
102809,1
102810,1
102813,
102816,2
102825,
102826,1
102830,2
102831,
102845,
102847,
102848,1
102853,
102855,1
102861,1
102862,3
102875,
102880,1
102893,1
102895,
102907,1
102924,1
102935,1
102939,3
102949,1
102951,1
102955,2
102977,1
102982,1
102992,1
102994,1
102997,1
103001,1
103003,
103008,2
103015,1
103016,1
103024,
103025,1
103030,1
103059,1
103061,1
103064,1
103070,
103074,1
103081,
103082,1
103087,
103090,2
103091,2
103093,1
103100,1
103102,
103114,
103116,1
103124,1
103126,1
103130,1
103138,
103144,1
103145,1
103148,1
103153,1
103167,3
103173,1
103179,1
103182,2
103183,2
103190,1
103202,4
103206,1
103214,5
103215,5
103216,5
103219,4
103227,1
103232,
103249,5
103251,
103253,2
103255,4
103265,1
103266,2
103273,1
103280,1
103285,
103291,1
103296,5
103297,2
103306,1
103317,5
103341,1
103349,2
103354,
103357,2
103358,
103360,1
103362,1
103377,
103378,
103379,1
103384,2
103396,2
103400,2
103419,1
103424,2
103427,
103428,
103431,1
103449,1
103454,1
103457,1
103464,1
103465,1
103472,1
103491,
103499,
103501,1
103503,1
103505,
103509,1
103512,1
103513,1
103516,2
103518,
103523,5
103526,2
103528,5
103536,1
103539,1
103543,
103577,
103586,2
103601,1
103604,2
103606,
103611,
103612,2
103616,1
103618,1
103632,1
103634,1
103639,
103642,
103644,1
103645,1
103649,1
103657,1
103662,1
103663,
103684,1
103686,1
103693,1
103718,1
103723,1
103750,1
103751,1
103762,1
103771,1
103799,1
103803,1
103819,1
103826,2
103831,
103834,1
103843,1
103873,2
103884,1
103885,2
103903,1
103910,
103915,1
103919,2
103922,
103927,1
103953,1
103957,1
103966,1
103991,1
104005,
104012,1
104014,1
104017,
104026,
104027,
104030,
104032,1
104043,2
104053,1
104065,2
104068,1
104080,
104081,2
104100,1
104126,1
104127,1
104137,
104138,2
104143,2
104162,1
104167,1
104190,1
104207,1
104216,1
104223,1
104225,1
104230,1
104232,1
104239,1
104246,1
104283,
104311,
104315,
104316,
104317,
104320,
104334,1
104335,
104351,1
104354,1
104356,1
104359,1
104365,1
104367,
104375,
104376,1
104389,1
104393,
104406,3
104415,1
104435,1
104451,
104474,2
104482,
104486,1
104490,1
104519,1
104539,
104565,
104570,2
104575,
104576,2
104591,
104601,
104623,
104632,
104643,
104644,1
104648,2
104650,1
104656,1
104665,1
104666,2
104680,1
104683,1
104699,
104701,2
104706,1
104709,2
104723,2
104736,
104743,1
104744,
104747,1
104750,1
104761,2
104794,
104804,
104815,5
104817,2
104818,1
104876,1
104884,5
104888,
104894,1
104897,
104917,1
104919,1
104947,1
104963,
104970,1
104995,
105002,1
105005,
105016,1
105019,1
105039,
105041,1
105047,
105052,2
105057,1
105069,3
105072,1
105083,1
105087,2
105089,2
105107,2
105114,1
105119,1
105127,4
105133,
105144,
105148,
105163,
105167,1
105169,1
105191,1
105201,1
105217,1
105219,1
105223,1
105236,1
105239,1
105240,1
105244,1
105252,1
105275,
105276,2
105279,1
105291,2
105295,
105304,1
105318,3
105324,1
105333,1
105334,1
105336,1
105339,1
105346,
105347,
105348,1
105370,1
105373,1
105374,1
105388,1
105391,1
105403,2
105406,1
105418,
105419,1
105423,
105427,1
105436,1
105442,1
105444,1
105448,1
105458,1
105463,1
105467,1
105468,1
105470,1
105474,1
105491,1
105501,1
105506,1
105511,1
105517,1
105533,1
105541,1
105551,
105552,1
105564,
105571,1
105572,1
105582,1
105586,1
105590,
105593,1
105595,1
105596,1
105599,
105601,
105603,
105604,1
105620,
105623,1
105626,2
105630,1
105633,2
105642,1
105655,1
105656,
105659,1
105666,1
105676,
105678,
105683,5
105688,
105689,1
105694,1
105699,1
105704,
105710,
105722,1
105727,1
105730,2
105734,2
105741,1
105742,
105752,
105759,2
105765,
105766,
105771,1
105777,2
105786,1
105797,
105803,1
105814,2
105819,
105820,1
105821,
105831,1
105849,1
105850,1
105852,1
105856,1
105870,1
105873,1
105875,
105876,2
105877,1
105886,1
105900,1
105903,1
105907,1
105923,1
105927,3
105928,4
105930,
105933,2
105939,1
105942,1
105954,1
105963,1
105964,3
105966,1
105990,
106000,2
106002,1
106011,1
106013,1
106020,1
106022,4
106037,1
106040,1
106051,1
106062,
106068,1
106074,1
106076,1
106082,1
106091,
106097,1
106099,
106103,
106125,
106127,1
106133,1
106149,
106153,1
106154,1
106159,
106161,1
106162,1
106165,1
106170,1
106174,1
106175,1
106179,1
106182,1
106183,1
106206,
106224,2
106226,1
106229,1
106233,3
106261,
106266,
106268,1
106276,1
106283,1
106295,1
106298,1
106299,3
106305,1
106312,1
106319,
106321,
106323,
106328,5
106331,
106332,1
106344,1
106354,1
106357,
106358,
106361,
106364,1
106377,1
106384,1
106387,1
106391,
106395,1
106396,1
106401,1
106409,2
106411,2
106412,1
106437,1
106456,1
106460,2
106466,1
106467,2
106470,
106471,1
106474,1
106475,
106479,1
106481,1
106484,1
106498,1
106518,1
106534,
106540,3
106541,2
106542,
106546,1
106548,2
106550,
106554,1
106555,1
106556,
106558,
106567,1
106571,1
106574,1
106575,1
106576,1
106578,1
106585,1
106587,5
106590,1
106605,
106607,1
106613,1
106616,2
106619,
106620,
106623,
106632,
106648,1
106649,
106650,
106654,1
106665,1
106669,2
106686,1
106695,1
106704,2
106706,
106707,
106708,1
106717,
106725,1
106741,1
106746,
106747,
106752,2
106754,2
106762,1
106763,1
106764,4
106765,
106766,
106772,1
106773,1
106774,1
106779,1
106785,1
106786,1
106787,1
106791,1
106811,
106816,1
106817,1
106820,
106824,
106825,1
106826,
106829,2
106830,1
106834,
106837,2
106842,1
106847,
106860,
106862,
106866,1
106871,
106872,1
106873,1
106879,3
106886,1
106894,
106898,1
106905,1
106925,1
106926,2
106930,1
106936,
106940,1
106947,1
106948,2
106956,
106958,1
106961,2
106963,2
106968,1
106975,
106976,
106980,
106996,1
107000,
107001,1
107004,
107006,1
107018,
107021,2
107041,1
107042,2
107061,1
107063,1
107064,1
107067,
107070,1
107077,1
107104,
107105,
107107,1
107115,2
107120,2
107121,1
107122,1
107126,1
107133,1
107138,1
107144,2
107145,1
107155,1
107156,1
107165,2
107167,1
107174,1
107177,2
107178,1
107181,
107182,2
107189,1
107192,2
107200,1
107205,2
107208,1
107211,1
107215,1
107220,1
107227,1
107235,
107238,
107245,2
107253,3
107257,1
107263,2
107274,2
107276,2
107280,2
107284,1
107286,1
107294,5
107296,
107303,1
107316,
107331,
107340,
107352,1
107356,
107362,1
107363,1
107367,
107384,1
107385,
107392,1
107404,1
107417,2
107424,1
107425,1
107439,1
107445,1
107449,
107450,1
107452,
107453,1
107466,3
107472,2
107483,5
107488,1
107494,1
107496,1
